smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW,fgroup,Unnamed: 15,Unnamed: 16
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,2-91,2.0,13.0,7.0,31.0,3.0,Low,302.324,-1.53,4.0,0.25,1.01,2.38,Neutral,,
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,2-92,2.0,14.0,1.0,29.0,13.0,Low,390.437,1.13,4.0,0.49,1.42,5.71,Neutral,,
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,2-93,2.0,14.0,2.0,0.0,0.0,Low,399.448,1.74,4.0,0.23,1.1,6.12,Neutral,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,2-94,2.0,14.0,3.0,0.0,0.0,Low,331.303,0.58,4.0,0.15,0.93,3.04,Neutral,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,2-95,2.0,14.0,4.0,193.0,15.0,Low,301.32,-0.18,3.0,0.12,0.91,2.93,Neutral,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,2-96,2.0,14.0,5.0,193.0,11.0,Low,301.32,-0.18,3.0,0.13,0.87,2.7,Neutral,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,2-97,2.0,14.0,6.0,113.0,2.0,Low,456.497,1.04,6.0,0.2,1.21,5.87,Neutral,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,2-98,2.0,14.0,7.0,91.0,8.0,Low,456.497,1.04,6.0,0.2,1.21,4.71,Neutral,,
O=C([O-])[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H]([NH3+])[C@@]13[C@H]2CC[C@@](O)(C(=C)C1)C3,98,2.0,15.0,1.0,91.0,3.0,Low,335.404,-3.41,1.0,0.19,0.99,3.53,Zwitterion,,
O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+]([O-])(C)C)C2=CC(=O)C(OC)=C1,99,2.0,15.0,2.0,18.0,7.0,Low,357.41,1.03,5.0,0.25,1.26,5.19,Zwitterion,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
