SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,113.0,Low,2.0,2-97,Table2,1.4923024632658304,-0.7444101082750959,2.2421336840530044,0.5700939997693153,2.502830761453999,1.7293369912890963,0.07934509067835882,1.0522537303922328,-1.8769132173166518
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,91.0,Low,8.0,2-98,Table2,1.4923024632658304,-0.7444101082750959,2.2421336840530044,0.5700939997693153,2.502830761453999,1.7293369912890963,0.07934509067835882,1.0522537303922328,-1.8769132173166518
O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+]([O-])(C)C)C2=CC(=O)C(OC)=C1,18.0,Low,7.0,99,Table2,0.1817249218713181,0.8240585141817516,-0.1394279868761904,-0.26529126721938434,0.14947019795214478,1.1692891254011615,-0.7035264706814485,0.29991772991855886,-1.7692724728819702
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(-c2ccccc2)cc1,71.0,Low,11.0,3-2,Table3,0.790776064054514,0.06894320117941939,0.22834441601787464,-0.26529126721938434,0.6201423106525156,1.1692891254011615,0.07934509067835882,0.6760857301553959,-1.7692724728819702
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](N(C)C)[C@H]3OC2)cc1,7.0,Low,1.0,3-5,Table3,0.6428447497153382,-0.24697979203231699,-0.5570060661324571,-1.100676534208084,0.6201423106525156,0.6092412595132265,-0.7035264706814485,-0.452418270555115,-0.3391882968211996
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+](C)(C)C)[C@H]3OC2)cc1,30.0,Low,1.0,3-6,Table3,0.8416956492316118,-0.15160930180597665,-0.6554026462626608,-1.100676534208084,0.14947019795214478,0.6092412595132265,-0.7035264706814485,-0.26433427043669655,-0.1546613063617453
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](NC(=O)C)[C@H]3OC2)cc1,8.0,Low,1.0,3-7,Table3,0.8277820379052976,-0.527617022954225,0.22834441601787464,-0.26529126721938434,0.6201423106525156,0.6092412595132265,-0.7035264706814485,-0.26433427043669655,-0.800505772969835
CC1=C([C@H](C[N+](C)(C)C)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,30.0,Low,1.0,3-11,Table3,-0.412500024212261,1.3969541934376568,-1.9187661442307113,-0.26529126721938434,-1.7332182528493385,-0.5108544722626435,0.07934509067835882,-0.26433427043669655,-0.031643312722108824
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,91.0,Low,4.0,3-12,Table3,-0.4264136355385745,1.0209464722894084,-1.0350190819501763,0.5700939997693153,-1.2625461401489677,-0.5108544722626435,0.07934509067835882,-0.26433427043669655,-0.4775835396657898
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,113.0,Low,20.0,3-15,Table3,-0.9427117775017753,0.9788014216292213,-1.3043949047140369,0.5700939997693153,-1.2625461401489677,-1.0709023381505784,0.07934509067835882,-0.828586270791952,0.27590167137698124
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,49.0,Low,1.0,3-19,Table3,-0.5989186094255536,1.0452837550650103,-1.1200531635441797,-0.26529126721938434,-0.7918740274485969,-1.0709023381505784,0.07934509067835882,-0.452418270555115,-0.6305467028098116
