SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C([O-])CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,17.0,Low,1.0,2-60,Table2,390.4560000000002,0.5825999999999991,120.43999999999997,1.0,6.0,6.0,3.0,28.0,0.7619047619047619
O=C([O-])[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,15.0,Low,10.0,2-61,Table2,345.37100000000015,-0.3076000000000001,106.89,2.0,6.0,1.0,5.0,25.0,0.6842105263157895
O(CC=C)[C@H]1[C@H]2OC[C@@H](OCC=C)[C@H]2OC1,139.0,Low,10.0,2-62,Table2,226.27199999999993,0.9263999999999999,36.92,0.0,4.0,6.0,2.0,16.0,0.6666666666666666
O=C(OC)[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)Cc1[nH]cnc1,118.0,Low,16.0,2-63,Table2,471.55400000000026,1.949999999999999,135.28999999999996,2.0,7.0,7.0,4.0,34.0,0.68
O=C(NCC#N)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,97.0,Low,12.0,2-64,Table2,384.4320000000003,0.5822799999999988,119.65000000000002,3.0,6.0,2.0,5.0,28.0,0.6666666666666666
O=C(OC)[C@@H](NC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2)CO,96.0,Low,8.0,2-65,Table2,447.4840000000003,-0.4073999999999995,142.39000000000001,4.0,8.0,4.0,5.0,32.0,0.6956521739130435
Clc1c(F)ccc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)c1,93.0,Low,26.0,2-66,Table2,487.9550000000004,3.051400000000001,95.86,3.0,5.0,3.0,6.0,34.0,0.5384615384615384
O=C1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,92.0,Low,37.0,2-67,Table2,300.3980000000001,3.2664000000000017,51.21,0.0,3.0,0.0,4.0,22.0,0.7368421052631579
O=C(N1CCOCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,91.0,Low,18.0,2-68,Table2,415.48600000000033,0.8012999999999992,96.3,2.0,6.0,1.0,6.0,30.0,0.7391304347826086
O=C1[C@]2(CI)C[C@@]3(C1)[C@@H](C(OC)=O)C([C@@]4(C=C5)[C@]3([H])CC2)[C@](C)(C(O4)=O)[C@H]5O,89.0,Low,9.0,2-69,Table2,486.3020000000003,1.8187000000000002,89.90000000000002,1.0,6.0,2.0,5.0,27.0,0.75
