smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,3-47,3.0,13.0,3.0,84.0,13.0,Low,299.35,-0.79,2.0,0.21,0.99,3.55
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,3-48,3.0,13.0,4.0,86.0,16.0,Low,314.385,2.34,3.0,0.22,0.97,4.28
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,3-49,3.0,13.0,5.0,69.0,5.0,Low,313.4,1.61,2.0,0.21,0.95,4.54
O=C1[C@]2(C)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,3-50,3.0,14.0,1.0,515.0,50.0,High,256.371,1.44,0.0,0.19,0.92,2.53
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,3-51,3.0,14.0,2.0,138.0,7.0,Low,283.35,0.57,1.0,0.2,0.97,3.44
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,3-52,3.0,14.0,3.0,28.0,12.0,Low,298.385,3.62,2.0,0.22,0.98,4.17
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,3-53,3.0,14.0,4.0,49.0,12.0,Low,297.401,2.89,1.0,0.22,0.97,4.51
O=C([O-])[C@]12C(=O)C[C@@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC1)C2,3-54,3.0,14.0,5.0,238.0,12.0,Low,285.343,-0.46,1.0,0.14,0.78,2.51
,,,,,,,,,,,,,
,,,,,,,,,,,,,
